competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936
One dime,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.11599999999999999,32.261086
One quarter,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.51099998,46.116505
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963000000004
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178771999999995
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.37545400000001
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.28448100000001
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236121999999995
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.12743900000001
Junior Mints,1,0,0,0,0,0,0,0,1,0.19699999999999998,0.51099998,57.21925
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,41.389557
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.10400000000000001,39.141056
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392000000006
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505
M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064071999999996
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701000000004
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068
Nik L Nip,0,1,0,0,0,0,0,0,1,0.19699999999999998,0.97600001,22.445341
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.11599999999999999,37.348521999999996
ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.86625699999998
ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029
ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499
ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.06899999799999999,29.703691
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103694999999995
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.11599999999999999,45.995827
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.67378199999997
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.06899999799999999,0.11599999999999999,59.863997999999995
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.06899999799999999,0.11599999999999999,52.825947
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578990999999995
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.11599999999999999,27.303865000000002
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651000000004
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011000000000000001,45.736748
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,45.466282
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.11599999999999999,39.011897999999995
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.18600000000000005,0.26699999,41.904308
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
